GO_ID	GO_name	Ontology	study_count	study_total	pop_count	pop_total	p_value	p_adjusted
GO:0040036	regulation of fibroblast growth factor receptor signaling pathway	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0048156	tau protein binding	MF	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0042491	inner ear auditory receptor cell differentiation	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0048563	NA	NA	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0060118	vestibular receptor cell development	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0060122	inner ear receptor cell stereocilium organization	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0048839	inner ear development	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0032088	negative regulation of NF-kappaB transcription factor activity	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0008157	protein phosphatase 1 binding	MF	115	18834	286	57634	0.00437748778991579	0.0328987644134019
GO:0016208	AMP binding	MF	19	18834	34	57634	0.00441120623157106	0.033088296453769
GO:0000329	fungal-type vacuole membrane	CC	15	18834	25	57634	0.00452642083541248	0.0338872236774246
GO:0039644	NA	NA	14	18834	23	57634	0.00506026646766198	0.0378111657554857
GO:0070979	protein K11-linked ubiquitination	BP	23	18834	44	57634	0.0055680759611958	0.0415258998408721
GO:0000213	tRNA-intron endonuclease activity	MF	13	18834	21	57634	0.00562393585187943	0.0418622987980241
GO:0009898	cytoplasmic side of plasma membrane	CC	25	18834	49	57634	0.00591871090284368	0.0438886505614675
GO:0039540	symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of RIG-I activity	BP	25	18834	49	57634	0.00591871090284368	0.0438886505614675
GO:1990948	ubiquitin ligase inhibitor activity	MF	6	18834	7	57634	0.00613415682350965	0.0451422920868111
GO:0005668	RNA polymerase transcription factor SL1 complex	CC	6	18834	7	57634	0.00613415682350965	0.0451422920868111
GO:0030991	intraciliary transport particle A	CC	6	18834	7	57634	0.00613415682350965	0.0451422920868111
GO:0005816	spindle pole body	CC	6	18834	7	57634	0.00613415682350965	0.0451422920868111
GO:0050482	arachidonate secretion	BP	12	18834	19	57634	0.00620124373076355	0.0454641089338277
GO:0018119	peptidyl-cysteine S-nitrosylation	BP	12	18834	19	57634	0.00620124373076355	0.0454641089338277
GO:0070374	positive regulation of ERK1 and ERK2 cascade	BP	16	18834	28	57634	0.00657500940000834	0.0481137435981813
