GO_term	taxon	taxon_id	lineage
GO:0010223	Magnoliopsida	3398.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida
GO:1901684	cellular organisms	131567.0	root | cellular organisms
GO:0102251	Viridiplantae	33090.0	root | cellular organisms | Eukaryota | Viridiplantae
GO:0010822	Unknown		
GO:0032441	cellular organisms	131567.0	root | cellular organisms
GO:0102872	Unknown		
GO:0046784	Unknown		
GO:0050421	root	1.0	root
GO:0045860	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:0018026	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0006084	cellular organisms	131567.0	root | cellular organisms
GO:0019236	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0050882	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0016310	root	1.0	root
GO:0015279	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:1901957	Embryophyta	3193.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta
GO:0030514	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:0034088	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0005925	cellular organisms	131567.0	root | cellular organisms
GO:1901562	cellular organisms	131567.0	root | cellular organisms
GO:0098686	Mammalia	40674.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia
GO:0009948	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0090691	Arabidopsis thaliana	3702.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae | Camelineae | Arabidopsis | Arabidopsis thaliana
GO:0032480	root	1.0	root
GO:0006778	cellular organisms	131567.0	root | cellular organisms
