ProteinID	sim_BP	sim_MF	sim_CC
CSH1-4g20342	4.58541769388141	6.14470234235358	3.21221099059833
CSH1-5g24172	3.46536331684191	3.27198225772189	4.37984152985157
CSH1-2g11768	5.33960686384158	2.73500595194914	NA
CSH1-7g36028	NA	7.16409037105787	NA
CSH1-10g45470	7.4173998152032	10.7852282466509	10.7852282466509
CSH1-12g55956	4.8506347473965	7.27416862475778	3.21221099059833
CSH1-4g20819	3.34634117990525	9.00755421590617	NA
CSH1-5g27215	7.36123121466778	7.3468371638499	7.18793055301063
CSH1-2g08158	NA	NA	4.38090088389608
CSH1-9g43722	NA	3.88445940153795	NA
CSH1-9g41688	NA	10.2359221023168	NA
CSH1-10g48452	4.37747670556268	3.76126014595013	NA
CSH1-9g41389	4.59141090137169	8.91838547992149	7.2225690776469
CSH1-2g08652	6.72135899536838	8.56631940525808	7.60371419488064
CSH1-9g43998	8.27991059960275	10.7852282466509	7.78949597309689
CSH1-2g08435	3.76917434005106	5.65085385990429	NA
CSH1-12g56312	NA	5.24077338093282	NA
CSH1-12g56357	NA	3.72146621823804	NA
CSH1-9g43548	4.06285876796568	9.45940201963611	NA
CSH1-5g22833	NA	1.86951029661771	NA
CSH1-10g45581	6.72378363687949	9.55947939718332	NA
CSH1-5g26471	4.93642052864009	5.8588663879835	7.78949597309689
CSH1-7g33115	NA	1.86951029661771	NA
CSH1-11g51314	NA	7.16409037105787	NA
CSH1-1g05042	NA	7.16409037105787	NA
CSH1-9g43260	NA	8.5938246091722	7.33239277637786
CSH1-7g34983	5.79110896262197	5.71086638083872	4.65610798032661
CSH1-7g35086	NA	6.36995655307146	NA
CSH1-2g11376	2.34211225863096	5.41222796052491	4.26582658333236
CSH1-1g05261	3.34594995086033	7.31009064237356	7.27007046586707
CSH1-11g51529	NA	NA	3.21221099059833
CSH1-1g05653	7.64973403072173	7.8142343772094	NA
CSH1-1g05451	2.39580809562261	4.64832450901259	5.31588994727509
CSH1-9g42344	3.13925740832605	3.22610733571047	4.88522324366413
CSH1-6g30712	NA	5.86177916945785	NA
CSH1-11g53812	NA	3.31785717973332	4.65610798032661
CSH1-3g16010	NA	1.86951029661771	NA
CSH1-1g05898	7.64973403072173	7.8142343772094	NA
CSH1-5g21855	NA	NA	3.21221099059833
CSH1-2g08366	7.48939138064655	7.50933418416414	NA
CSH1-3g15321	NA	7.16409037105787	NA
CSH1-11g53200	8.86576237148132	9.8281844141135	6.36650206014788
CSH1-5g23479	1.15928812303119	2.66873543823474	3.21221099059833
CSH1-6g31710	6.17010772980962	5.09348565905334	NA
CSH1-1g06646	6.12178915253881	5.26018662994466	6.15884101923513
CSH1-12g57116	1.02935491685163	3.84547179849966	5.27134384965917
CSH1-1g00486	NA	3.31785717973332	NA
CSH1-2g09889	7.4173998152032	NA	NA
CSH1-6g32031	6.93508064494082	10.7852282466509	NA
CSH1-10g47449	8.04382144746849	6.37329697409763	NA
CSH1-9g41880	NA	6.47481307640538	NA
CSH1-12g56094	4.92736848069738	5.50352812391927	5.01708222775869
CSH1-12g55265	1.3729225883615	3.02643156584123	2.47235685230826
CSH1-1g03512	4.98089834534889	9.36699280443229	8.70701039806522
CSH1-9g44354	NA	3.31785717973332	NA
CSH1-7g35606	NA	2.44358033805706	NA
CSH1-3g12581	6.93508064494082	10.7852282466509	8.06801471613666
CSH1-11g51896	5.37174622178258	9.74550747581096	NA
CSH1-6g29228	NA	1.56930349638079	NA
CSH1-1g07439	NA	3.73994887474639	NA
CSH1-11g49398	4.81396640686041	3.49542233807798	NA
CSH1-5g26043	NA	10.0920810660909	NA
CSH1-6g27487	NA	4.68490929463081	NA
CSH1-3g13823	NA	4.68490929463081	NA
CSH1-4g20274	NA	4.20341020309121	NA
CSH1-8g37903	NA	7.16409037105787	NA
CSH1-11g53895	3.993490150397	2.88071875889519	4.70025970909161
CSH1-1g03993	NA	7.16409037105787	NA
CSH1-1g03742	1.32972386110815	4.34235020932154	3.21221099059833
CSH1-3g13957	8.47535055933189	9.63323765286712	7.46007968891383
CSH1-11g50011	10.7852282466509	NA	10.7852282466509
CSH1-2g09096	10.7852282466509	NA	NA
CSH1-1g05037	6.93508064494082	9.68661595798277	3.21221099059833
CSH1-6g29374	7.86238134876156	7.38554524034402	7.55601689690189
CSH1-7g32763	3.84686513169891	10.02409763722	NA
CSH1-3g12888	NA	3.31785717973332	NA
CSH1-5g24878	NA	2.71731435310148	NA
CSH1-3g15063	1.54571749737491	3.45720900686758	NA
CSH1-5g21751	5.48304918119804	6.35496112086639	NA
CSH1-5g22432	0.681742952307852	NA	3.21221099059833
CSH1-5g24052	7.71895140502298	6.40700956255512	NA
CSH1-2g12201	0.681742952307852	5.09348565905334	5.36069173205526
CSH1-1g06658	7.43265526678088	10.4386546563709	NA
CSH1-8g38229	NA	5.68026939476925	NA
CSH1-12g56356	NA	NA	3.21221099059833
CSH1-8g38984	NA	NA	3.21221099059833
CSH1-3g13636	NA	10.7852282466509	7.4179324166644
CSH1-11g50093	NA	3.93650129008272	NA
CSH1-2g11958	4.63249555194677	NA	NA
CSH1-5g25799	6.93508064494082	10.7852282466509	NA
CSH1-2g10483	4.73399664872081	6.93102291302219	7.78949597309689
CSH1-3g14777	NA	NA	5.37805647519076
CSH1-5g23318	NA	4.02134333808844	NA
CSH1-5g24528	NA	7.16409037105787	NA
CSH1-10g46971	NA	7.16409037105787	NA
CSH1-8g38180	7.8391126239652	3.85144423008438	NA
CSH1-3g15965	4.73399664872081	6.59382394360738	7.78949597309689
CSH1-4g19858	NA	3.76251305502587	NA
CSH1-8g36922	7.73075896635583	8.48124705908336	7.76742429299638
CSH1-4g19080	6.61328826434768	8.37577243104627	8.38733297385251
CSH1-3g15237	4.06285876796568	10.7852282466509	NA
